id,value
hsa-mir-302f,3
hsa-mir-30e,3
hsa-mir-320b-1,3
hsa-mir-320b-2,3
hsa-mir-323a,3
hsa-mir-330,3
hsa-mir-335,3
hsa-mir-340,3
hsa-mir-363,3
hsa-mir-372,3
hsa-mir-376a-1,3
hsa-mir-376a-2,3
hsa-mir-410,3
hsa-mir-421,3
hsa-mir-424,3
hsa-mir-452,3
hsa-mir-454,3
hsa-mir-483,3
hsa-mir-484,3
hsa-mir-486,3
hsa-mir-491,3
hsa-mir-492,3
hsa-mir-497,3
hsa-mir-512-2,3
hsa-mir-517a,3
hsa-mir-519d,3
hsa-mir-519e,3
hsa-mir-520h,3
hsa-mir-532,3
hsa-mir-539,3
hsa-mir-574,3
hsa-mir-615,3
hsa-mir-638,3
hsa-mir-708,3
hsa-mir-885,3
hsa-mir-98,3
INI1,3
LINC01162,3
LINGO2,3
LOC101928004,3
LOC105370575,3
LOC105376214,3
LOC105376400,3
LOC105377871,3
LRFN2,3
LRRC4C,3
MTAP,3
MTX1,3
MUC1,3
NCOA3,3
NEDD9,3
NSF,3
NT5C2,3
NUDT11,3
PADI6,3
PARK2,3
PDE4B,3
PEX14,3
POLD3,3
PRKCH,3
RGS22,3
RHEB,3
RHPN2,3
RNF43,3
RYR2,3
SEPT4-AS1,3
SETBP1,3
SLC14A1,3
SLC22A1,3
SLC45A2,3
SLC4A7,3
SMARCA1,3
SRSF10P2,3
SUZ12,3
TACC3,3
TCF7L2,3
WRN,3
XAGE3,3
ZMIZ1,3
ZNRF3,3
ABCC4,2
ACVR1B,2
ADAM12,2
ADCY2,2
ADNP,2
AGR2,2
ANKRD11,2
AREG,2
ATF7IP,2
ATRX,2
BARX1,2
BCAS3,2
BCL2L11,2
BET1L,2
BIRC5,2
C10orf11,2
C2orf43,2
C6orf15,2
CABLES2,2
CACNA2D1,2
CADPS,2
CAMK2D,2
CASC19,2
CASC20,2
CCNE1,2
CD86,2
CDK8,2
CENPE,2
CENPF,2
CMKLR1,2
CRLF2,2
CRTC1,2
CSF1R,2
CTLA4,2
CYP19A1,2
DAZL,2
DCC,2
DDC,2
DDIT3,2
DEF8,2
DNMT3B,2
DPP10,2
DSCAM,2
EHBP1,2
EIF1AX,2
EIF2AK4,2
ELOVL5,2
EMBP1,2
EPCAM,2
EPHA2,2
ERCC6,2
EREG,2
ETS2,2
FBN1,2
FGF13,2
FHIT,2
FLI1,2
FOXL2,2
FOXP4-AS1,2
GOLGA3,2
GPC5,2
GREM1,2
GRIA1,2
GRIK1,2
GSTP1,2
HDAC9,2
HECTD4,2
HLA-A,2
HLA-B,2
HLA-DQA1,2
hsa-mir-103a-1,2
hsa-mir-103b-1,2
hsa-mir-103b-2,2
hsa-mir-105-1,2
hsa-mir-105-2,2
hsa-mir-1249,2
hsa-mir-1271,2
hsa-mir-1290,2
hsa-mir-1303,2
hsa-mir-1471,2
hsa-mir-147b,2
hsa-mir-148b,2
hsa-mir-154,2
hsa-mir-185,2
hsa-mir-188,2
hsa-mir-198,2
hsa-mir-202,2
hsa-mir-208b,2
hsa-mir-211,2
hsa-mir-2110,2
hsa-mir-216b,2
hsa-mir-219-2,2
hsa-mir-28,2
hsa-mir-300,2
hsa-mir-301b,2
hsa-mir-320c-1,2
hsa-mir-320c-2,2
hsa-mir-320d-1,2
hsa-mir-320e,2
hsa-mir-323b,2
hsa-mir-324,2
hsa-mir-326,2
hsa-mir-331,2
hsa-mir-337,2
hsa-mir-33b,2
hsa-mir-371a,2
hsa-mir-376c,2
hsa-mir-378b,2
hsa-mir-378c,2
hsa-mir-378d-1,2
hsa-mir-378d-2,2
hsa-mir-378e,2
hsa-mir-378f,2
hsa-mir-378g,2
hsa-mir-378h,2
hsa-mir-378i,2
hsa-mir-379,2
hsa-mir-383,2
hsa-mir-411,2
hsa-mir-422a,2
hsa-mir-425,2
hsa-mir-432,2
hsa-mir-433,2
hsa-mir-450a-1,2
hsa-mir-450a-2,2
hsa-mir-450b,2
hsa-mir-451b,2
hsa-mir-455,2
hsa-mir-485,2
hsa-mir-488,2
hsa-mir-489,2
hsa-mir-495,2
hsa-mir-498,2
hsa-mir-499b,2
hsa-mir-504,2
hsa-mir-506,2
hsa-mir-508,2
hsa-mir-509-1,2
hsa-mir-509-2,2
hsa-mir-509-3,2
hsa-mir-512-1,2
hsa-mir-513a-1,2
hsa-mir-513a-2,2
hsa-mir-513b,2
hsa-mir-513c,2
hsa-mir-514a-1,2
hsa-mir-514a-2,2
hsa-mir-514a-3,2
hsa-mir-515-1,2
hsa-mir-515-2,2
hsa-mir-517c,2
hsa-mir-518b,2
hsa-mir-519c,2
hsa-mir-520c,2
hsa-mir-550a-1,2
hsa-mir-550a-2,2
hsa-mir-584,2
hsa-mir-593,2
hsa-mir-608,2
hsa-mir-622,2
hsa-mir-629,2
hsa-mir-630,2
hsa-mir-636,2
hsa-mir-642a,2
hsa-mir-650,2
hsa-mir-652,2
hsa-mir-664,2
hsa-mir-671,2
hsa-mir-765,2
hsa-mir-874,2
hsa-mir-95,2
HSPH1,2
HTR3B,2
IFNL3,2
IFNLR1,2
IGF2,2
IL13,2
ILF2,2
ITGA6,2
JUN,2
KDM6A,2
KIAA1524,2
KIF16B,2
KLF2,2
KRT5,2
LAMA5,2
LEF1,2
LIMA1,2
LINC01121,2
LMO1,2
LOC100129620,2
LOC101928075,2
LOC101929200,2
LOC102724651,2
LOC105369705,2
LOC105369750,2
LOC105370003,2
LOC105370831,2
LOC105371470,2
LOC105372950,2
LOC105374875,2
LOC105375015,2
LOC105376360,2
LOC105376402,2
LOC105376815,2
LOC105377273,2
LOC105377860,2
LOC105377923,2
LOC107984199,2
LOC107985688,2
LOC107986229,2
LRRC34,2
LRRC8B,2
MACF1,2
MAGI2,2
MAML2,2
MAPK1,2
Mar-08,2
MCM3AP,2
MECOM,2
MIR218-1,2
MIR4457,2
MIR5580,2
MKI67,2
MKL1,2
MLL,2
MMP2,2
MRE11,2
MSH3,2
MTUS1,2
NCOA2,2
NEK10,2
NFIB,2
NHSL1,2
NOL10,2
NOS1,2
NQO1,2
NR5A2,2
NRXN3,2
NXN,2
OPCML,2
OR10Q2P,2
PBK,2
PCDH15,2
PCNX,2
PDX1,2
PLA2G6,2
PLCB1,2
PLEKHM1,2
PLXNC1,2
POLR3B,2
POT1,2
PSORS1C1,2
PTPRJ,2
RAB35,2
RARG,2
RBM10,2
ROBO2,2
RP1,2
RSPO1,2
SERPINB3,2
SHROOM2,2
SLC25A44,2
SLC41A1,2
SRC,2
SV2C,2
SYK,2
SYNGR2,2
SYNPO2,2
TBX1,2
TCF3,2
TERC,2
TET1,2
TGFB1,2
TGM3,2
THADA,2
THSD7B,2
TMTC2,2
TNFRSF1A,2
TNS3,2
TOM1,2
TOP1,2
TOP2A,2
TOX3,2
TSPAN32,2
TUBB3,2
UGT1A8,2
UNC5CL,2
USP8P1,2
VEGFA,2
VTI1A,2
WNT4,2
WT1,2
XBP1,2
XPO1,2
XRCC1,2
XRCC2,2
ZBTB16,2
ZEB2,2
ZFP91,2
ABCC10,1
ABCC3,1
ABCG2,1
ABLIM1,1
ACAD10,1
ACTA1,1
ACTA2,1
ADAM29,1
ADAMTS16,1
ADAMTS17,1
ADAMTS6,1
ADAMTS7P3,1
ADH1C,1
ADH7,1
AFG3L1P,1
AFM,1
AGER,1
AGPAT1,1
AIG1,1
AIPL1,1
AKAP13,1
AKAP7,1
AKNAD1,1
ALCAM,1
ALDH2,1
ALOX5AP,1
ALPK3,1
ALPL,1
ANK2,1
ANKS1A,1
ANO1,1
ANXA13,1
ANXA9,1
APBA2,1
APOBEC2,1
APOBEC3A,1
AR-V7,1
ARAP2,1
ARAP3,1
ARHGAP18,1
ARHGAP35,1
ARHGAP44,1
ARHGEF4,1
ARHGEF5,1
ARID1B,1
ARID2,1
ARMC2,1
ARMC9,1
ARSB,1
ASH1L,1
ASNS,1
ASXL2,1
ATE1,1
ATF1,1
ATP10A,1
ATP1B2,1
ATP8A2,1
AXL,1
BACH1,1
BAIAP2L1,1
BANK1,1
BCAR1,1
BCAR4,1
BCKDHB,1
BCL,1
BCL10,1
BCL11B,1
BCL6,1
BCL9,1
BICC1,1
BICD1,1
BIK,1
BIRC3,1
BIRC7,1
BMF,1
BMP4,1
BOD1L1,1
BOLL,1
BRE,1
BRWD3,1
C10orf90,1
C17orf62,1
C1orf110,1
C1orf127,1
C2,1
C20orf27,1
C20orf62,1
C3orf20,1
C8orf34,1
C8orf37-AS1,1
C9orf156,1
CA9,1
CABLES1,1
CACNA1B,1
CACNA2D3,1
CACNB4,1
CALR,1
CAMKMT,1
CAST,1
CBFB,1
CBLB,1
CBLC,1
CBX7,1
CCDC178,1
CCDC88C,1
CCHCR1,1
CD44,1
CD69,1
CD80,1
CD9,1
CDC20,1
CDC42BPB,1
CDH12,1
CDH8,1
CDON,1
CDX2,1
CDYL2,1
CEP152,1
CEP85L,1
CFLAR,1
CHD1,1
CHD6,1
CHODL,1
CHST9,1
CIITA,1
CLEC4D,1
CLK3,1
CLSTN2,1
CNNM2,1
CNTN4,1
COL11A2P1,1
COL15A1,1
CPA2,1
CRP,1
CRYL1,1
CSNK1A1,1
CSRNP1,1
CTDSPL,1
CTH,1
CTNNA2,1
CTNNA3,1
CUBN,1
CWC27,1
CXCR4,1
CYP17A1,1
DAB2,1
DAPK1,1
DCLK1,1
DCLRE1B,1
DCP1B,1
DDX1,1
DDX41,1
DDX43,1
DEFA1,1
DENND1A,1
DENND1C,1
DGKB,1
DGKK,1
DIO1,1
DIP2B,1
DIS3,1
DKK1,1
DLG2,1
DLST,1
DLX2-AS1,1
DNAH12,1
DNAH5,1
DNMT1,1
DOCK3,1
DOCK4,1
DOCK8,1
DPH6-AS1,1
DSG3,1
DUSP23,1
DUSP6,1
DUX4,1
DVL1,1
EBF2,1
ECSCR,1
ECT2L,1
EDNRA,1
EFCAB11,1
EFR3A,1
EGR2,1
EIF4E2,1
EIF4EBP1,1
ELL,1
EMID1,1
EOMES,1
EPG5,1
EPHA10,1
EPHA3,1
EPHB4,1
ERAP1,1
ERBB2IP,1
ERC2,1
ERCC5,1
ERGIC1,1
ERRFI1,1
ESR2,1
ESRRG,1
ETAA1,1
ETFA,1
ETV4,1
EVC,1
EXOC1,1
EXOC2,1
FADS1,1
FAM126B,1
FAM134C,1
FAM19A5,1
FAM208B,1
FAM50B,1
FAT3,1
FCGR2A,1
FCGR2B,1
FCGR3A,1
FERMT2,1
FGD6,1
FGF10,1
FGF12,1
FGF2,1
FGF3,1
FGF4,1
FLJ22763,1
FLNB,1
FLT1,1
FMN1,1
FNTB,1
FOPNL,1
FOS,1
FOXO1,1
FOXP3,1
FOXP4,1
FOXQ1,1
FRAS1,1
FRS2,1
FTCDNL1,1
GAB2,1
GADD45A,1
GAREM,1
GAS6,1
GAS7,1
GATA2,1
GCKR,1
GCSAML,1
GJA3,1
GKN1,1
GLI2,1
GLIS3,1
GLRA3,1
GMCL1,1
GNAS-AS1,1
GNG12-AS1,1
GNG2,1
GPR37,1
GRHL1,1
GRID1,1
GRM4,1
GTF2H1,1
HACE1,1
HAPLN1,1
HAVCR2,1
HDLBP,1
HECW1,1
HELQ,1
HHLA1,1
HIST1H1C,1
HLA-C,1
HLA-DPB1,1
HLA-DPB2,1
HLA-DQB1,1
HLA-DRA,1
HLA-DRB1,1
HLA-F-AS1,1
HMOX1,1
HNF4G,1
HOXB13,1
HPGDS,1
HPSE2,1
HS3ST2,1
hsa-let-7a,1
hsa-mir-1179,1
hsa-mir-1183,1
hsa-mir-1227,1
hsa-mir-1228,1
hsa-mir-1229,1
hsa-mir-1233-1,1
hsa-mir-1233-2,1
hsa-mir-1234,1
hsa-mir-1245a,1
hsa-mir-1245b,1
hsa-mir-1246,1
hsa-mir-124a-2,1
hsa-mir-124a-3,1
hsa-mir-1254-1,1
hsa-mir-1256,1
hsa-mir-1258,1
hsa-mir-125b,1
hsa-mir-1260a,1
hsa-mir-1273c,1
hsa-mir-1280,1
hsa-mir-1285-1,1
hsa-mir-1285-2,1
hsa-mir-1286,1
hsa-mir-1296,1
hsa-mir-1299,1
hsa-mir-1305,1
hsa-mir-1322,1
hsa-mir-1323,1
hsa-mir-136,1
hsa-mir-1469,1
hsa-mir-151,1
hsa-mir-181,1
hsa-mir-1909,1
hsa-mir-1915,1
hsa-mir-192-2,1
hsa-mir-2355,1
hsa-mir-2861,1
hsa-mir-298,1
hsa-mir-29b,1
hsa-mir-3130-1,1
hsa-mir-3130-2,1
hsa-mir-3163,1
hsa-mir-3186,1
hsa-mir-3196,1
hsa-mir-320d-2,1
hsa-mir-33a,1
hsa-mir-346,1
hsa-mir-362,1
hsa-mir-369,1
hsa-mir-371,1
hsa-mir-374a,1
hsa-mir-376b,1
hsa-mir-381,1
hsa-mir-384,1
hsa-mir-3940,1
hsa-mir-4257,1
hsa-mir-4306,1
hsa-mir-431,1
hsa-mir-449c,1
hsa-mir-487a,1
hsa-mir-487b,1
hsa-mir-490,1
hsa-mir-493,1
hsa-mir-500a,1
hsa-mir-500b,1
hsa-mir-501,1
hsa-mir-507,1
hsa-mir-510,1
hsa-mir-516a-1,1
hsa-mir-516a-2,1
hsa-mir-516b-1,1
hsa-mir-516b-2,1
hsa-mir-518a-1,1
hsa-mir-518a-2,1
hsa-mir-518c,1
hsa-mir-518e,1
hsa-mir-519a-1,1
hsa-mir-519a-2,1
hsa-mir-519b,1
hsa-mir-520a,1
hsa-mir-520b,1
hsa-mir-520d,1
hsa-mir-520e,1
hsa-mir-522,1
hsa-mir-526a-1,1
hsa-mir-526a-2,1
hsa-mir-526b,1
hsa-mir-527,1
hsa-mir-544a,1
hsa-mir-544b,1
hsa-mir-548b,1
hsa-mir-548d-1,1
hsa-mir-548d-2,1
hsa-mir-552,1
hsa-mir-557,1
hsa-mir-561,1
hsa-mir-564,1
hsa-mir-567,1
hsa-mir-571,1
hsa-mir-572,1
hsa-mir-575,1
hsa-mir-590,1
hsa-mir-598,1
hsa-mir-602,1
hsa-mir-603,1
hsa-mir-610,1
hsa-mir-616,1
hsa-mir-617,1
hsa-mir-621,1
hsa-mir-628,1
hsa-mir-632,1
hsa-mir-633,1
hsa-mir-642b,1
hsa-mir-646,1
hsa-mir-655,1
hsa-mir-658,1
hsa-mir-660,1
hsa-mir-661,1
hsa-mir-663b,1
hsa-mir-675,1
hsa-mir-718,1
hsa-mir-720,1
hsa-mir-744,1
hsa-mir-758,1
hsa-mir-760,1
hsa-mir-766,1
hsa-mir-767,1
hsa-mir-873,1
hsa-mir-92,1
hsa-mir-922,1
hsa-mir-933,1
hsa-mir-935,1
hsa-mir-942,1
HSD17B12,1
HSPA12A,1
HSPA5,1
HSPB1,1
IL17F,1
IL1RAP,1
IMP3,1
IPCEF1,1
ISM1,1
